env_score,technical_component,level_confidence,coverage_score,explanation_score,behavioral_score,star_hits,has_outcome_number,filler_per_100,hedge_hits,word_count,delivery_score,label,label_str
60.75152672844281,60.822061031787705,0.8669947772937345,57.071551642683204,54.26555095425522,55.818008034205164,3.0,0.0,2.5345121401490553,2.0,177.92188008841765,50.90049298817273,2,Lean Hire
10.0,40.64731006915749,0.49582667522746976,41.428313902652164,54.5711983633826,33.44783697010165,1.0,0.0,7.740633034945587,6.0,149.09156644341562,72.28306067228549,1,Needs Work
27.65883290007275,50.55155714634944,0.6252429648458486,46.95015145462601,40.38415313771702,41.53911209801803,1.0,0.0,7.078776544246811,5.0,166.86974207605817,52.26964548801834,1,Needs Work
23.876747846932737,31.100348556695515,0.6935936804740004,35.226125735309815,40.993947759778685,54.46398659953566,2.0,0.0,13.974013369266226,4.0,172.41656377114558,33.36493556692327,1,Needs Work
13.923648811472471,19.670337266252012,0.3949724535584539,23.546939586617633,27.22923597548186,16.488907031019178,1.0,0.0,10.543543125453821,6.0,94.29037482698001,34.81279347284724,0,No Hire
54.17445592810503,72.88287156503809,0.48254617288793544,59.52548560551581,63.93769433346465,53.90210331293543,2.0,0.0,4.558309034684446,2.0,160.43726746982074,64.37815877618296,2,Lean Hire
31.482668409142676,40.47726184441124,0.35032313868130194,45.1305327482942,44.069026221159206,38.72499356973026,1.0,0.0,9.05926135042759,4.0,198.32799201484062,46.910270333911996,1,Needs Work
68.30183369773279,62.33396475577246,0.5052863890064425,50.18206171498862,42.741726089452165,70.83636120851696,3.0,1.0,3.2423135503226126,2.0,124.98259425350116,57.89029018478967,2,Lean Hire
68.25548820693346,75.41966594730879,0.47367857115316636,54.33411836895779,55.28719640302184,66.61858826792181,3.0,1.0,4.810862180472036,4.0,114.64960705621019,46.132100472692244,2,Lean Hire
53.610693235219806,72.24223168379835,0.5923087020308319,54.51490719993586,53.53085633935003,72.07838184691725,2.0,0.0,0.4809073354419669,1.0,79.16088440564641,59.34892024388848,2,Lean Hire
61.03588307213299,57.56182581044102,0.7114511575736808,64.89815161347457,56.66298563448579,60.42737557100613,2.0,1.0,3.836232236366742,2.0,132.39909899256264,68.05795076580307,2,Lean Hire
34.648118819808516,35.855914341373435,0.3520316032551239,31.38702345433546,18.433732788073026,36.89691295857561,1.0,0.0,18.3397172617209,10.0,130.36754885386017,38.45813863294663,0,No Hire
93.17445047307396,73.70602000253609,0.8034940425069795,76.80620551651953,87.14622269024903,75.22889782336456,4.0,1.0,1.1157016939953464,0.0,219.7669577513928,70.94119145519139,3,Strong Hire
86.49324973222754,57.547256139177065,0.7753500951862851,86.01428946610571,50.682673140019496,65.05002603999355,2.0,1.0,1.5699030114067878,3.0,151.43732042695984,61.58016492540466,2,Lean Hire
63.765656534199664,78.67361420088372,0.6938852231192892,51.419160977468316,59.50620710833328,70.54409448482201,4.0,1.0,0.524683060583971,4.0,206.48511903909767,72.45127680006536,3,Strong Hire
67.63617238411508,72.31189263372028,0.7495793429723179,64.932622769821,70.64789333946179,71.26207662185656,3.0,1.0,2.8418950793778173,0.0,226.1370989353182,89.85400120164553,3,Strong Hire
74.1266992412907,91.52477065689368,0.7457383538277911,83.65774383437326,68.26409561753869,73.02687883654065,4.0,1.0,0.5282819626421283,2.0,197.12879367654705,78.45690032192012,3,Strong Hire
18.48447241050454,27.944404333307855,0.4426092761116087,5.0,24.385054690018556,18.620967637645666,1.0,0.0,34.30936497446527,3.0,61.339756339666984,13.277983112506845,0,No Hire
72.60738178842553,71.52601650872049,0.7368004202694372,66.96437537987077,82.78060670219527,65.01587928201567,3.0,1.0,0.05052226482335198,3.0,224.71417063265713,79.86044408800727,3,Strong Hire
10.012247680539396,27.872335880581684,0.4629129392968614,8.143631140256769,11.93223940289769,27.8156396539635,0.0,0.0,16.562644122128777,11.0,117.14267479604146,20.396702027709335,0,No Hire
38.36340406354707,30.330710431168644,0.4436211746430485,45.18358477507872,37.61053568578459,19.46658186324686,2.0,0.0,9.169110129981888,2.0,63.99553172282681,41.902862298336714,1,Needs Work
80.46615500955842,77.37410614942935,0.8715367547721212,77.90048530886999,66.00862313370675,85.72010018270082,3.0,0.0,0.12676790303340096,1.0,169.97833944542572,71.18704669095567,3,Strong Hire
36.288311206087734,12.851328413714015,0.3347424982298501,16.701024633610594,16.357241392184967,24.7350155776275,0.0,1.0,33.30955226766418,11.0,121.54100361126015,29.044203119096572,0,No Hire
61.06463677086268,54.49892072330838,0.6460368630726988,63.59625304904185,45.317371926520565,55.137773701004306,1.0,0.0,2.6161676072113433,5.0,90.08801869415804,18.0,1,Needs Work
36.978656542716266,5.0,0.4290794014546292,12.419847302645877,16.460577391629524,6.110442823844718,1.0,0.0,13.709332831707526,6.0,123.80578366940179,11.103963125060773,0,No Hire
82.39748412471842,84.81609873508901,0.8673546921965404,80.69863582645827,72.37734473389035,75.21433216093884,3.0,1.0,0.8521679103088426,0.0,246.09624396425218,87.16613348704584,3,Strong Hire
50.057188621903954,18.0,0.6604124020863638,33.13476140792487,40.83048194374932,55.818355394162054,2.0,0.0,5.996241100740435,3.0,92.8865970446611,35.15374197171889,1,Needs Work
24.872086805113653,34.78552503002912,0.21736590197427297,27.447489132436367,23.05146422625006,41.3618005091535,0.0,0.0,21.618601525754826,9.0,74.30820898668382,39.65634752766656,0,No Hire
60.89800481793228,42.8252568039447,0.4414370670816352,32.413259393639,30.377028537549915,40.730164823005666,2.0,1.0,18.945120107178294,5.0,142.18545393878338,18.0,1,Needs Work
